Arabic_text,ar:manual_sentiment,ar:manual_confidence
خصوصا الشركات لأنو رح تكون هدف سهل لمحاولت اختراق سيرفر الشبكة التجارية ,Negative,0.8231
ألفين مبروك أخي تميم يعني والله بتستاهل فعلاً لأنك رجال معدَّل وأبضاي وزكرت والله ... ,Positive,1
يآأاساتر مين هووون بشوووف ,Negative,0.7474
يعني اذا كنت انا صاحب شركة كمان ما رح اخد غير الوجه الحسن ,Positive,0.4961
"وحتى بالعدوان كانوا شركاء في مجزرة مروحين ... ",Negative,0.9124
أنو ربي قطة تكون صغيرة و ربيها أنا وتحبني شغلة حلوة مو ... ,Positive,1
ونضول كنت اشتريت فيا تياب ومكياجات وعملت حفلة كبيرة بلا مناسبة بس نوع من البريستيج والقنفشة ,Positive,0.4419
"والموضوع كله هفة الغاء الدين الاسلامي وبالتدريج من حياة اولادنا ومن حياتنا هاد مو من حق ",Negative,0.8988
شو مطولة ستي واشملكم ريحة عطر راششتو على حالها .. ,Positive,0.5029
و بتمنى كون صديقة بيناتكن يا احلى منتدى ,Positive,1
هنن أوسخ وأوطى من أنو يحكوا على المرحوم حافظ الاسد ,Negative,1
و عاقبال ما نشوفك ... دكتور ناجح بإذن الله ... ,Positive,1
٢ بالأولى ووحدة بالتالتة .. إلا مادة السنة التانية ماعم تترفع .. ,Negative,0.7261
ولا عندها مشكلة لو تمت سنة .. قبل العرس .. ,Positive,0.3997
بختار اشكي لحالي وما أظلمه معي ,Negative,0.8198
قبل كمن سنة ... ولما توافدو اليهود من كل مناطق العالم ,Negative,0.5396
والله مبينة الوحدة الوطنية كتير منيح من تعليقات هالناس المعقدين ,Negative,0.7982
وصرت تسمع كلمة ممنوع الوقفة هون من واحد ما بيسوى فرنك ونص ,Negative,0.9084
كيف ... لما بتكون عما تقدم امتحان ووحدة صوبك عما تعلك ... ,Negative,0.7041
واللي مابتعرفه ياسيدي الكريم أو بجوز بتعرف وماذكرته انه مو الصيدلاني اللي عطاه الإبرة !! ,Negative,0.7106
والمتمرد يحترمه الكبار والصغار ؟؟ ,Negative,0.5469
كل عام وانتي بالف خير يا عمو والله يجعل ايامك كلها حلوة وناطرين رجعتك مشان الكاتووو و القهوة وعقبال فرحة التخرج .  ,Positive,1
لأن فيها خربان بيت متنل العين بالعن والسن بالسن ,Negative,0.9072
"يعني في مخالفة ١٠٠٠ ليرة ؟ ",Negative,0.5112
انا بدعو صحبتكم لاحدي المواقع من جميع الانواع اضغط هنا ميمو ,Positive,0.6444
"ملكة الحب ملاحظه جيده والله كنت بسألهم اليوم ليش مختفين بس الاختبار شغلني ان شاء الله اوفيكم بالاخبار عنهم «:confused:»  ",Positive,0.8993
"ويتربى بعز ودلال والديه ان شاء الله ومبرك الك ",Positive,1
مواضيعك دائما مميزة .. ,Positive,0.9005
انو اللي لابسين البدلات يعني كتير عوكات وفايتين ,Negative,0.7363
في اشخاص بالأصل هنن عندون انفصام وأمراض نفسية بحاولو انو يعملو شي للفت الانظار ,Negative,1
حك راسه يحاول يتذكر وقال أجل أنا وين حطيت القلم ! ؟ ,Neutral,0.6039
وانا والمشاغب ... حنكون السبب «:d» ,Positive,0.5392
يلا تجربة أبتعادك جابت نتيجة واحلى نتيجة ,Positive,0.9012
بس يوم عالمي كمان بيستحق كل النسة هو والمرأة أكيد ,Positive,0.7057
خزيت العين عنك الله يحميك ,Positive,1
وطلع ضغطنا ونزل شي عشرين مرة خصوصي آخر شي المنتخب السعودي كان ضعيف مبارح ,Negative,1
"إخواني قواكم الله وحفظكم ونصركم لكن بس المدونات بدها شكل أجمل وأكثر نظاما فقط حتى نرتفع باعلام القضيه ومعكم ان شاء الله  ",Positive,0.6882
ولا اقوى رافعة بالدنيا بترفعك عن الارض ,Negative,0.7017
واللي بيقول انا ضد تنظيم الدعاره بكرا بتشوفواول واحد واقف على الدورليفوت ويقضي شهوته ,Negative,1
لأنو انت وامثالك اذا بتستمروا في الاعتراض فقط ,Negative,1
بمسح دمعتها وبخفف عنها ,Positive,0.7259
بس ماحبيتها منك انو سبقتني مو نحنا متفقين نخطب سوا المهم سبقتني للخير . . . ,Positive,0.6955
يعني عم ياكلوا من ورى عرق و تعب الداعرات هلا ، ,Negative,1
يا ريت جسمك هالحلو بياخد عمر ,Positive,0.9043
فالاغلبية ما الكل ما بيسدقو يشوفوا واحد عم يبتسملون او وحدة واقفة ,Negative,0.6079
يا أخي هلكتنا وتعبتنا وفوتتنا بميت حيط ... ,Negative,1
"ألف مبروووك والله يعينك على هالمسؤولية والأمانة بس أنت قدها وقدووود الله الله يا فتى القمة أقنعهم يغيرون ما تحت معرفي من كاتب جديد إلى أي شيء إذا قدرت تقنعهم بهالشي تكون فعلا ً شي .. ",Positive,1
او بكون عنجد انو عم يساعدها و هيي مجرد صديقة ,Positive,0.7211
تخرجت من الجامعة بمعدل ممتاز وما تعينت بالكلية ، وبنفس السنة ع الدورة التكميلية عينوا بالكلية ثلاثة من الطلاب معدلاتن «زفت» . ,Negative,0.7487
اي شو هالشاعرية لشام ينالك يا شام شقد الناس بتحبك وانا وحدة منن مع انوا ما زرتا غير ٥ مرات وبالبرد كمان  ,Positive,0.8004
يعني بالعاميه ياروح يمين ياروح شمال ,Negative,0.4146
عفوا أختي على الخطا الكتابي ,Positive,0.4049
أو غلطة لاتغتفر ... ,Negative,0.7169
لا تحوي على صور عالية التقنية .. ,Negative,0.525
فرجينا همتك ونشاطك ومواضيعك الحلوة ومناقشاتك الحكيمة ,Positive,0.9053
بس الزنب مش عليه الزنب على المفتشيين ,Negative,1
يالله لنشوف حركوا النقاش وسخنوه لكي نصل الى الحقيقة المفقودة ,Positive,0.6395
مبلى اخي كل الموظفين بيعانوا من هل الحالة مو بس انت ,Negative,0.9134
ولخمهـ بلآش بلآش خلي آلأحزآن بعيدهـ ,Positive,0.6053
معقول هالسؤال ... ,Negative,0.5131
كلياتنا منعرف أنو حضرتك هو رقم واحد ... ,Positive,0.6111
كان بودي نقل هذا ألأدراج أيضا بس ما بدي تقل عليك ,Positive,0.4061
ارجو افادتنا لانه مسافرين الاسبوع الجاى على غزه من السعوديه وشكرا ,Neutral,0.7326
وبتجنن طريقة سردك لإلو ... ,Positive,1
والله عطونا فرحة وأمل ورفعولنا معنوياتنا في بلاد الغربة . ,Positive,0.907
وارسم في خيالك شعب بيتحسر ,Negative,1
